#{"t_start": 1762623701.537952, "env_id": "LunarLander-v3"}
r,l,t
-142.051695,111,0.115299
-319.788553,123,0.19697
-228.001634,65,0.244021
-237.568884,87,0.307677
-445.835706,97,0.37486
-106.922305,101,0.442833
-14.027228,86,0.497878
-116.668739,135,0.589044
-485.815831,143,0.683173
-586.666629,115,0.760766
-176.80104,99,0.828285
-284.352614,87,0.883361
-634.842823,107,0.955493
-478.228558,126,1.04102
-505.702684,121,1.120796
-346.684148,81,1.17513
-341.064946,147,1.284068
-70.573333,90,1.361146
-344.19401,83,1.426613
-268.706615,104,1.597848
-94.835892,202,1.826059
-190.005087,121,1.906734
-34.362878,105,1.972936
-288.979465,117,2.047462
-357.07109,163,2.155163
-344.399563,189,2.27982
-71.225254,185,2.400113
-355.396942,267,2.591926
-357.588009,175,2.814312
-107.157098,212,2.969915
-373.756027,150,3.073317
-436.378836,163,3.192917
-483.528434,129,3.282805
-296.339264,131,3.37078
-360.690046,182,3.49101
-279.740662,132,3.578766
-163.360867,109,3.65129
24.392323,158,3.757516
-5.128236,1000,4.635613
143.615139,1000,5.324282
-210.402685,166,5.439143
63.481851,1000,6.254873
-199.415828,215,6.39759
30.664716,148,6.498146
-209.835683,147,6.602172
-182.449528,157,6.717644
-127.917525,185,6.844647
-296.206294,90,6.910542
-323.490539,222,7.066749
-161.451529,160,7.179802
-250.632978,212,7.352043
-192.032258,183,7.582549
-58.530458,201,7.720089
-123.104454,136,7.807633
-39.348784,148,7.910086
-12.212002,138,8.005476
-33.34314,105,8.077608
-6.955485,103,8.150661
-35.023527,151,8.256605
-10.76602,164,8.364786
-69.658996,108,8.436073
-220.382384,123,8.518664
-224.762295,92,8.582611
-46.459298,87,8.639866
-65.13597,176,8.830114
-176.374321,194,9.07775
-54.666714,108,9.15351
-20.98038,197,9.291598
-185.675123,224,9.439923
-22.531148,250,9.609376
-32.66707,266,9.78782
121.694391,1000,10.615836
-186.407534,229,10.773746
-20.04266,284,10.96422
-43.99234,383,11.220283
-275.172645,371,11.477457
-267.517996,170,11.592506
59.560701,196,11.722949
-322.405812,404,12.225791
307.285289,656,12.693053
83.798485,166,12.803209
-203.649051,135,12.89272
-11.827849,220,13.038293
31.405389,173,13.152092
-1.393786,126,13.236361
-380.710446,353,13.483481
-534.275761,205,13.72734
-668.160089,203,13.865913
-631.508455,171,13.978552
-482.07768,167,14.093104
-207.970695,347,14.324514
-102.659281,216,14.470593
-130.405751,168,14.582948
21.630416,226,14.739165
-69.133172,281,14.99225
-130.56259,152,15.197669
-141.615143,81,15.252137
-134.269151,93,15.318341
-5.417458,226,15.468429
-189.889299,198,15.604518
-258.690323,158,15.710879
-231.580196,103,15.778657
-216.057232,277,15.95916
-212.126568,266,16.133002
-214.212688,84,16.191571
-187.549513,202,16.326627
1.139339,360,16.726301
-3.686771,97,16.79216
-38.137209,165,16.89978
-28.87613,160,17.007194
40.364226,225,17.156512
38.338184,253,17.323257
-202.542507,144,17.41576
-225.290159,305,17.613457
-219.933151,216,17.755135
-210.205769,79,17.807458
-20.598628,203,17.956344
-29.522538,196,18.191293
-71.214207,215,18.347813
-58.966486,153,18.445051
-267.435392,227,18.599154
-40.897041,286,18.78911
-45.574409,211,18.927426
-273.095413,205,19.067209
-44.911401,101,19.132077
-49.059583,158,19.23824
-62.377361,132,19.38073
-233.693544,130,19.478969
-148.357054,125,19.657607
-65.132301,152,19.766943
-155.196357,300,19.963826
-219.466161,158,20.072651
-212.776413,131,20.168556
-181.893356,247,20.341051
-46.619391,200,20.478188
-208.466096,92,20.546705
200.016845,383,20.817499
-64.520664,154,20.936638
-196.944701,206,21.17376
-12.194712,147,21.270019
-203.280945,204,21.40941
-84.944577,322,21.628516
-244.620283,354,21.863286
284.785183,604,22.271085
-288.800924,335,22.659762
-352.363212,357,22.895467
-44.801463,191,23.025491
-318.546626,308,23.22629
-195.26087,323,23.441717
-258.285279,348,23.672188
15.293178,209,23.818779
-35.480876,107,23.903817
-55.106601,180,24.135074
-46.618885,300,24.337176
-2.503896,372,24.588914
-66.420564,653,25.017707
50.067714,177,25.138962
-81.189954,581,25.679981
-66.811424,512,26.014322
-10.195183,325,26.2276
-93.111147,447,26.516276
-204.239969,160,26.622952
6.164318,232,26.80405
7.747883,260,27.084305
-175.442632,213,27.231254
-23.385351,218,27.374268
-91.566956,203,27.50791
13.315445,95,27.572327
302.254123,221,27.717333
47.078866,211,27.855897
-44.768682,314,28.064819
183.440684,990,28.916406
19.916121,246,29.080613
-9.761647,352,29.317686
-1.181374,140,29.41006
-33.270785,288,29.603406
19.600209,233,29.777202
17.936335,219,30.036032
31.523763,194,30.168642
-14.757381,225,30.32092
-39.973362,346,30.548478
40.602254,141,30.640884
-10.774184,362,30.887121
64.836577,154,30.991282
-33.506599,406,31.328721
295.050579,309,31.646381
166.207619,494,31.981508
150.336934,637,32.404701
186.901223,726,33.028972
33.420228,364,33.287405
224.380075,553,33.65328
212.686636,578,34.037658
-279.803103,616,34.627341
-84.336949,586,35.020795
-11.76069,293,35.216228
-254.451009,487,35.538679
-13.007531,184,35.658798
-190.570572,338,36.045667
-240.315533,192,36.180758
-192.194262,239,36.336927
281.761411,317,36.550113
224.868806,448,36.847215
-161.459424,147,36.944075
19.440035,229,37.097865
-46.502621,287,37.309829
-48.865747,537,37.771224
51.307357,232,37.927502
-9.742129,351,38.161757
144.199478,670,38.620293
-47.356509,328,39.022415
-15.674308,211,39.175519
2.161552,242,39.36826
-15.679533,281,39.56798
-176.658384,154,39.67182
-41.602038,532,40.0234
-59.885659,645,40.57235
-33.488873,278,40.761886
-105.120973,1000,41.433238
-86.452457,401,41.720151
-102.63402,492,42.270404
-90.171489,279,42.45785
247.245516,304,42.65839
61.699951,210,42.798795
28.561937,262,42.969391
183.390261,448,43.330932
250.234739,495,43.777951
184.17645,533,44.12503
184.988085,415,44.398721
239.080499,503,44.734829
75.375944,158,44.902589
-41.878671,312,45.226416
224.037647,444,45.519341
54.063553,168,45.632414
257.061878,366,45.876635
-65.338166,72,45.92136
194.51328,443,46.216719
-55.635007,335,46.468836
-70.71935,485,46.932023
34.450004,100,47.004074
209.845247,688,47.486253
246.213361,499,47.884608
192.252516,526,48.34963
186.580061,604,48.750852
228.03021,409,49.027865
252.681451,342,49.264742
208.883159,543,49.755993
225.50317,428,50.037231
211.906914,459,50.338452
188.792894,660,50.774101
223.193878,384,51.189001
207.4947,468,51.489146
263.111922,278,51.668415
15.224569,94,51.731652
8.502357,92,51.78947
33.229418,110,51.861977
66.242698,158,51.963404
226.934833,358,52.194094
239.237012,274,52.389621
14.868491,101,52.464177
274.613293,247,52.724968
239.755002,330,52.939244
209.895459,442,53.228988
221.756666,357,53.462537
225.347005,446,53.813798
242.003289,413,54.200429
286.40494,226,54.34704
195.720322,442,54.638795
-11.476532,266,54.821054
125.395967,609,55.286699
-15.847052,119,55.383117
-29.150516,394,55.747777
235.747843,396,56.011699
237.20757,345,56.246273
-58.16375,300,56.445774
-16.922481,334,56.680258
32.552861,298,56.996171
257.225787,316,57.209615
-31.366094,322,57.423122
258.615589,567,57.80926
-0.561055,243,57.971647
231.046073,397,58.292355
269.672233,296,58.602119
285.162483,282,58.797455
-11.986875,306,58.994967
213.906014,372,59.243203
-7.914599,165,59.360663
44.407158,110,59.432654
-69.505272,283,59.624644
4.974894,184,59.775356
186.537788,482,60.207587
158.032164,517,60.551199
215.74478,332,60.770677
179.770234,294,60.966405
-0.622463,91,61.025203
257.64911,466,61.504395
4.377381,80,61.557615
42.090156,128,61.646634
61.189922,143,61.744556
-60.730772,248,61.91377
275.964327,351,62.147995
243.289704,347,62.383167
27.595229,276,62.56554
-8.458724,270,62.770452
255.86206,376,63.146477
