#{"t_start": 1762458577.333108, "env_id": "LunarLander-v3"}
r,l,t
-177.763869,114,0.089094
-134.063932,70,0.12424
-427.183441,99,0.173412
-10.698095,61,0.202887
-87.295635,54,0.235589
-221.125504,98,0.283744
-321.955919,79,0.325922
-238.554292,92,0.371996
-121.343095,91,0.418332
-86.448258,73,0.454463
-95.83096,69,0.489357
-101.757111,69,0.523793
-172.73993,97,1.147625
-159.249979,92,1.194061
-458.277578,118,1.257406
-187.101736,66,1.29674
-278.333927,108,1.352143
-139.655319,58,1.38154
-139.176524,64,1.413608
-239.212623,109,1.468573
-216.524382,97,1.516266
-336.532261,85,1.558584
-311.82658,99,1.612871
-130.473081,61,1.647184
-366.366744,98,2.449257
-184.03997,108,2.503329
-100.077547,106,2.556426
-287.653197,143,2.63025
-222.010673,136,2.702292
-97.568071,89,2.751885
-45.386974,67,2.792706
-146.173815,99,2.846867
-220.603739,102,2.993283
-355.647613,100,3.059586
-190.619199,91,3.683066
-202.817656,68,3.722034
-82.414105,76,3.763205
-468.216319,106,3.817405
-292.017612,130,3.881383
-360.870275,103,3.936218
-241.894114,104,3.988251
-115.269938,121,4.046867
-196.135732,120,4.115288
-223.212019,105,4.218711
-355.110072,106,4.908366
76.714673,1000,6.220393
-102.828295,68,6.255495
-91.232083,105,6.308832
-113.180044,86,6.350412
-187.356662,96,6.406882
-141.597202,74,6.474908
-288.911074,89,6.541415
-144.131898,80,6.587519
-103.344583,59,6.633601
-120.738998,76,6.688364
-309.886701,105,6.873438
-119.076102,57,6.917122
-151.542383,129,7.619652
-207.425324,106,7.672855
-227.049243,97,7.721397
-57.903926,62,7.751486
-134.885828,118,7.809177
-122.407412,87,7.852029
-60.480787,70,7.887596
-57.282981,70,7.926163
-130.991568,88,7.97227
-111.383955,80,8.016015
-146.988012,94,8.066972
-120.582269,67,8.103478
-93.81824,81,8.844057
-111.343174,112,8.900588
7.168606,174,8.986863
-161.64783,108,9.039998
-66.054888,93,9.08639
-200.955925,136,9.153299
-82.273845,69,9.187307
-102.950159,127,9.298031
-157.300927,103,9.360192
-85.620154,75,10.133981
-99.313197,94,10.180483
-89.585344,103,10.230308
-102.017332,108,10.283666
-108.293718,69,10.317992
-208.171659,116,10.375072
-95.056899,84,10.417561
-117.783987,101,10.475499
-155.91171,114,10.569958
-52.065778,137,10.81976
-74.382254,92,11.790503
-89.224479,81,11.854673
-88.425407,70,11.89688
-132.283391,107,11.965434
-151.595504,82,12.095574
-304.951631,134,12.184369
-80.762163,107,12.448164
-93.118404,109,12.548267
-235.060344,125,12.642349
-121.909487,86,12.701632
-368.063382,172,13.53122
-171.59202,132,13.61912
-45.782936,85,13.67856
-109.863771,115,13.76377
-175.742011,120,13.862961
-139.128316,110,13.987632
-117.151677,129,14.286072
-129.21597,115,14.376444
-282.234028,109,14.449184
-169.993449,113,15.35776
-73.674133,66,15.391034
-138.730581,123,15.450329
-88.848835,95,15.499577
-176.817746,143,15.576352
-130.500855,81,15.622713
14.997947,89,15.674589
-72.88323,91,15.818159
-80.788413,155,15.895422
-28.107714,125,16.544955
-85.8291,101,16.594228
-89.36131,136,16.663243
-36.56016,99,16.713664
-68.769402,84,16.754601
-47.660881,89,16.797919
-31.871848,135,16.863471
-210.548518,99,16.915036
-167.139287,102,16.991508
-91.427601,89,17.141751
-73.536778,95,17.989327
-56.62285,106,18.082271
-49.363867,134,18.198495
-89.38792,147,18.433012
-211.702802,154,18.769316
-13.957872,101,18.84564
-63.790434,70,18.911862
-109.910585,121,19.003446
-26.367397,133,19.09994
-144.777787,210,20.081112
-77.700022,119,20.194558
-97.927553,94,20.270067
-27.680695,85,20.337117
-80.159357,122,20.612554
-194.475555,89,20.694737
-62.972809,166,20.83398
-71.850096,175,21.629323
-59.006079,91,21.674766
-62.841445,103,21.727011
-88.943661,120,21.785661
-40.127402,164,21.86614
15.46673,112,21.922331
7.084924,147,21.994353
-23.659718,158,22.083827
-40.595837,193,22.921349
-91.774352,150,22.993698
27.307791,203,23.091698
22.313183,201,23.190722
-161.261646,203,23.351751
18.844269,333,24.226122
32.395981,205,24.336914
-50.019661,134,24.405457
22.657494,136,24.474977
-28.816666,160,24.555819
-11.270057,189,24.723153
-12.998973,1000,25.981321
-178.737025,357,26.856883
-7.899588,215,26.961036
-95.522163,264,27.088808
-121.00257,383,28.141175
-154.588897,365,28.399964
-160.592697,397,28.803635
-328.665328,782,30.377826
-26.097327,1000,32.33054
34.626904,1000,34.132816
30.539878,1000,35.546468
39.371852,1000,36.800179
-90.151178,214,36.908193
21.658884,1000,38.234198
-41.92681,287,39.07532
28.104323,1000,39.632659
-97.480923,193,40.34274
-103.442895,167,40.423077
-17.553562,1000,41.702049
-121.873336,291,41.848037
-123.044136,324,42.113034
-65.105,276,42.895809
-88.434698,210,43.002331
52.369736,1000,44.416618
59.858707,1000,45.686168
153.087332,1000,46.968579
21.1492,1000,48.317799
73.391178,1000,49.739369
106.961195,1000,51.069268
35.125248,326,51.228664
63.581184,1000,52.370629
85.390549,1000,53.567407
107.441188,1000,54.756937
168.195317,815,55.867303
129.791692,1000,57.030421
102.223118,1000,58.171245
-15.493484,208,58.359967
163.687063,1000,59.491077
119.878888,1000,60.725569
125.119355,1000,61.882707
79.828993,1000,62.982034
98.344388,1000,64.156914
85.044944,1000,65.560399
79.710087,1000,66.792459
116.045605,1000,68.068895
107.033532,1000,69.24058
121.846424,1000,70.395533
-10.187928,317,70.552837
-16.460143,276,70.686134
64.575437,1000,71.888767
-51.99148,310,72.709209
111.527097,1000,73.878234
127.795401,1000,75.06709
122.676785,1000,75.606152
112.355808,1000,76.846491
54.89825,1000,78.018634
100.50006,1000,79.175838
84.27755,1000,80.310422
-72.568966,296,81.268767
5.028484,344,81.446134
108.905482,1000,82.617547
-10.99297,401,82.842728
150.781624,702,83.799488
73.703259,1000,84.99191
-63.600034,296,85.149837
132.080795,1000,86.403183
-23.750215,313,87.172062
-74.034953,386,87.358772
-20.700703,339,87.526524
117.419849,1000,88.817736
147.78578,1000,90.112044
8.352675,313,90.897399
-54.454555,291,91.047379
-84.494727,432,91.256142
-37.263871,245,92.051414
-34.246189,258,92.183451
112.281342,1000,93.362283
-64.115007,330,93.528075
143.181034,1000,94.753287
21.066095,272,94.890921
-110.027506,349,95.66813
-67.361156,213,95.776676
166.413464,869,96.931809
-139.307315,573,97.226853
-221.292402,914,98.349138
80.294764,1000,99.494002
156.986412,693,100.544067
96.294118,1000,101.74981
-11.786048,288,101.893698
42.045422,1000,102.990629
108.034189,1000,104.267092
155.962928,1000,105.664101
-8.536457,1000,106.970531
65.60374,643,108.168205
-27.233153,210,108.297991
-207.177908,532,108.731409
-58.578525,177,109.559003
186.3837,338,109.747171
-61.281447,129,109.820576
-58.715155,244,109.974228
171.019348,421,110.920994
194.874211,795,111.339371
44.39578,239,112.125128
-32.4731,242,112.243988
178.559401,645,113.379292
-10.13505,275,113.514168
211.09333,466,113.743687
252.921332,360,114.61115
-57.540455,1000,115.894826
220.251616,368,116.074543
231.516147,395,116.263906
213.427603,362,117.109534
-35.681316,260,117.346123
241.698277,383,117.582975
115.695583,619,118.815519
73.274276,964,120.134055
230.669362,377,120.339921
105.802698,1000,122.034751
245.366883,528,123.108442
176.171624,478,123.411172
224.580529,479,124.555945
234.459468,309,124.735346
249.092459,523,125.176909
204.335438,362,125.983868
211.682171,460,126.206797
-70.812932,437,127.09933
193.251418,378,127.291743
44.156501,1000,128.601415
-18.176389,275,128.765588
214.219224,381,129.680322
243.770674,439,129.899376
-41.788875,325,130.06345
191.073834,429,130.96094
247.717848,365,131.161745
228.460506,371,132.172579
-73.637211,286,132.318494
104.261902,1000,133.615654
2.005831,217,133.729928
264.689098,292,133.897881
246.102857,361,134.833609
216.496579,324,134.993362
235.453857,390,135.214802
220.376857,343,136.156757
224.21337,405,136.357616
-30.165905,263,136.501345
64.260598,1000,137.712991
-61.355685,280,138.536275
258.219795,280,138.673509
252.229349,310,138.830179
-35.16506,280,138.989011
235.607656,301,139.754833
210.024848,564,140.038901
35.422265,255,141.042468
-20.77726,218,141.147046
235.89416,327,141.309171
227.559312,367,141.502722
250.565464,333,142.379906
46.949904,302,142.535412
79.472737,1000,143.790271
166.709055,849,144.949507
8.545106,262,145.078647
252.408546,340,145.310638
-33.974918,293,146.159391
-31.436814,346,146.326206
254.449037,267,146.459594
262.649026,291,147.317906
-30.213931,288,147.45513
231.29606,330,147.611007
211.091549,487,148.608015
226.559832,306,148.754518
198.922489,503,149.06769
254.101519,334,149.986953
236.938457,318,150.145105
241.582064,318,150.346228
213.417325,347,151.360264
-14.793869,279,151.53282
197.777529,551,152.71907
235.434871,292,152.892261
235.039315,309,153.05423
229.227985,351,153.41488
107.059682,1000,154.968853
246.278297,277,155.785872
236.882711,578,156.186422
223.531236,458,157.409695
231.309555,536,157.824586
-23.309262,260,158.617297
241.324626,310,158.776921
237.304683,317,158.990987
-17.377369,200,159.175407
266.433826,305,160.264133
92.054056,1000,161.888098
91.593472,1000,163.357382
275.388391,320,163.530908
239.604152,310,163.709705
-70.81371,423,165.20484
223.464661,334,165.398282
224.969319,310,165.659383
241.402649,268,166.589393
238.583736,310,167.018679
12.314632,214,167.25697
258.814491,346,167.440167
235.851175,390,168.400783
-10.916821,302,168.571635
199.410949,732,169.786752
241.553552,447,170.082657
-15.285959,308,170.35564
184.712139,574,171.40013
262.196326,265,171.605595
189.885184,283,172.517433
270.748555,234,172.638454
222.595686,880,174.004251
-95.735739,417,174.215101
-24.861104,304,174.382849
-59.623898,261,175.478067
175.754256,501,176.055276
148.010918,1000,177.721507
-44.160164,1000,179.470915
204.911088,341,179.633783
271.935412,268,180.474522
246.005407,276,180.650665
230.6482,265,180.774693
231.830961,336,181.825748
-23.880598,181,181.909379
-11.005631,190,181.995952
266.712001,255,182.130306
-22.214008,270,182.290057
274.7996,283,183.053573
-27.192493,226,183.15871
-43.380497,580,183.441545
224.844971,430,184.543574
37.344661,1000,185.616275
-11.621315,1000,186.677836
242.584887,254,186.794618
159.875589,313,186.938161
264.826342,300,187.739237
272.550709,258,187.853303
226.440552,298,187.982762
-4.728394,473,188.754134
235.79804,317,188.893301
248.278202,264,189.007185
245.136978,281,189.626705
121.000803,1000,190.075376
152.954811,817,190.979948
115.296428,1000,191.962196
9.708866,288,192.931993
265.641464,297,193.106662
240.410588,255,193.262822
271.80615,261,193.407079
243.447245,273,194.348193
243.303268,331,194.524834
234.998282,254,194.651958
245.755909,314,194.832612
268.65356,823,196.252568
43.802989,196,196.364087
241.553339,265,197.548976
266.675281,328,197.731214
245.525968,265,197.877094
41.491801,294,198.617263
-34.833,138,198.694117
9.148819,163,198.772864
-13.277805,183,198.876391
279.481308,246,198.998536
250.76017,413,200.043828
31.985876,292,200.167614
6.310715,213,200.259125
242.169977,260,200.37051
-0.602551,176,201.121563
229.479797,380,201.311968
246.519567,288,201.457602
137.785099,687,202.592429
259.466214,271,202.744693
234.577355,310,204.130217
184.900018,503,204.707247
245.602972,307,205.095831
261.800907,356,206.538215
238.83567,257,206.683971
246.254751,250,206.815132
246.060823,240,206.982067
264.06046,252,208.072943
259.747117,277,208.235927
242.908713,338,208.42734
275.298853,251,208.56314
242.997451,287,209.744531
231.158247,245,209.937795
-8.616075,151,210.054803
236.487704,315,210.301533
277.099894,275,211.272772
247.916542,243,211.41916
